feature,source_feature,mean_abs_shap
qubit_count,qubit_count,0.039129091631834485
measurement_count,measurement_count,0.03282940355293398
readout_error,readout_error,0.02162281437294898
original_num_single_qubit_gates,original_num_single_qubit_gates,0.011509263545792637
num_single_qubit_gates,num_single_qubit_gates,0.010319548007407817
t2_mean,t2_mean,0.004938819151742337
original_mean_interaction_degree,original_mean_interaction_degree,0.004868612955592532
original_entanglement_density,original_entanglement_density,0.004822630768091884
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.004526486468281187
entanglement_density,entanglement_density,0.004296836469187313
t1_mean,t1_mean,0.003882920011084491
two_qubit_gate_error,two_qubit_gate_error,0.0038274166473561176
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.0038249184239365418
mean_interaction_degree,mean_interaction_degree,0.003735018207694082
num_cx,num_cx,0.003375486580843709
original_num_cx,original_num_cx,0.003237242666226156
original_num_cz,original_num_cz,0.0022627413588244753
num_cz,num_cz,0.0021952871252581244
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.0017316568364070227
long_range_interaction_score,long_range_interaction_score,0.0016399490408135437
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.001554226037027917
interaction_graph_density,interaction_graph_density,0.001316808200945733
original_long_range_interaction_score,original_long_range_interaction_score,0.0013113100007895611
max_interaction_degree,max_interaction_degree,0.0011090885959624027
original_interaction_graph_density,original_interaction_graph_density,0.0011059363470458754
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.001101121398768152
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.001049449437666764
circuit_depth,circuit_depth,0.0010376966183233993
mean_qubit_gate_count,mean_qubit_gate_count,0.0010287254772110366
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.0010126097508949851
original_circuit_depth,original_circuit_depth,0.0009419834831292968
original_max_interaction_degree,original_max_interaction_degree,0.0008957303899119962
single_qubit_gate_error,single_qubit_gate_error,0.0006402084557560893
original_max_qubit_gate_count,original_max_qubit_gate_count,0.00038155894191077165
max_qubit_gate_count,max_qubit_gate_count,0.00038002542097601314
active_qubit_fraction,active_qubit_fraction,2.0726259842357833e-05
original_active_qubit_fraction,original_active_qubit_fraction,1.744665024364224e-05
